#TYPE System.Management.Automation.PSCustomObject
"Name","LocalPackage"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\00481160F66D834458FEA15265DF85D7","@{LocalPackage=C:\Windows\Installer\58e7d005.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\008FDA344678B314690AD027CA90924A","@{LocalPackage=C:\Windows\Installer\41b67333.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0098D3685EB6D0E47811BA7934E175D9","@{LocalPackage=C:\Windows\Installer\2f2ee0.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\009EB50716742474BB8582771F454495","@{LocalPackage=C:\Windows\Installer\88747ac.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\00D9E64E3FE0A5A4196D5D97DB7E7EF3","@{LocalPackage=C:\Windows\Installer\6f90be7b.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\015110B1EF2CE034F81C9617051180C7","@{LocalPackage=C:\Windows\Installer\811d1ad.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0197EAD131787464BA90DC72ADB51A7B","@{LocalPackage=C:\Windows\Installer\58f92132.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\01A68F6088C2CB849A9E879E01F81FDB","@{LocalPackage=C:\Windows\Installer\811cad5.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\024916206767A504782B7495750CFB8A","@{LocalPackage=C:\Windows\Installer\811c6d8.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\02812466AC3DA05498C8877D4E10806E","@{LocalPackage=C:\Windows\Installer\8591631.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\02C6EB2FE6109C545A91D825E14EB765","@{LocalPackage=C:\Windows\Installer\2ec03a59.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\04239A846D996384D9559FA7C8118DAE","@{LocalPackage=C:\Windows\Installer\58e7ce73.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\046F5B2B8C7ECAD4FA1453AF3EF62E6F","@{LocalPackage=C:\Windows\Installer\8874b69.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0528039760330884FA2678B0ED2BFA05","@{LocalPackage=C:\Windows\Installer\c2ea399.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\057106DE6FB4894448DF603CBC87795F","@{LocalPackage=C:\Windows\Installer\8874b2f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0574B267DEEB01843B876274C69E7F02","@{LocalPackage=C:\Windows\Installer\2f91fceb.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\057DDD1CF233E1847A6A88243C3B3466","@{LocalPackage=C:\Windows\Installer\6f90be0f.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0718C1C13AD762949A56F36C90497149","@{LocalPackage=C:\Windows\Installer\8ca399d0.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0742CD52D084BE54D944BFE87A7D1147","@{LocalPackage=C:\Windows\Installer\58e7d019.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0754A7D3B68981B47A1C10DD3F8BAEB3","@{LocalPackage=C:\Windows\Installer\811d09c.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0782C5369C7D0284C82FBB44268DAF01","@{LocalPackage=C:\Windows\Installer\c2ea669.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\07A148A8E9724CF4E929C66DB9832F22","@{LocalPackage=C:\Windows\Installer\6f90be75.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\07B77719B133010419D212BCCA3C3206","@{LocalPackage=C:\Windows\Installer\8b009a42.msp}"
"HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Patches\0825ACEBDF1700B41964E080E4417533","@{LocalPackage=C:\Windows\Installer\811d1d2.msp}"
