#TYPE System.Management.Automation.PSCustomObject
"DisplayName","InstallLocation","InstallSource","LocalPackage","PsPath","InstallPropertiesPsPath","Patches","PatchPSPath"
"Microsoft Office O MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0100-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e3021.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001001400000000000F01FEC\Patches"
"Microsoft Office O MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0100-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072619.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001050400000000000F01FEC\Patches"
"Microsoft Office O MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0100-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\8907259d.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109001070400000000000F01FEC\Patches"
"Microsoft Office O MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0100-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb17ac.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090010A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090010A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090010A0C00000000000F01FEC\Patches"
"Microsoft DCF MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0090-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e2fe4.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090001400000000000F01FEC\Patches"
"Microsoft DCF MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0090-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\890725be.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090050400000000000F01FEC\Patches"
"Microsoft DCF MUI (German) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0090-0407-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072552.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090070400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090070400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109090070400000000000F01FEC\Patches"
"Microsoft DCF MUI (Spanish) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0090-0C0A-0000-0000000FF1CE}-C\","C:\Windows\Installer\7bb174b.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090900A0C00000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090900A0C00000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\000051090900A0C00000000000F01FEC\Patches"
"Microsoft X MUI (Italian) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0101-0410-0000-0000000FF1CE}-C\","C:\Windows\Installer\79e3003.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101001400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101001400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101001400000000000F01FEC\Patches"
"Microsoft X MUI (Czech) 2013","C:\Program Files (x86)\Microsoft Office\","C:\MSOCache\All Users\{90150000-0101-0405-0000-0000000FF1CE}-C\","C:\Windows\Installer\89072611.msi","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101050400000000000F01FEC","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101050400000000000F01FEC\InstallProperties","System.String[]","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Products\00005109101050400000000000F01FEC\Patches"
